team,player,position,apps_in_squad,apps_with_voto,apps_active,apps_missed,pct_active_rate,pct_fv_captured,total_voto,total_fv,total_active_fv,total_fv_missed,avg_active_fv,avg_fv_missed,best_active_fv,worst_active_fv
PREMIER LEAGUE SLOPS,Miretti,C,15,6,2,4,0.1333,0.3284,33.5,33.5,11.0,22.5,5.5,5.62,5.5,5.5
PREMIER LEAGUE SLOPS,Kulenovic,A,15,7,2,5,0.1333,0.2716,40.0,40.5,11.0,29.5,5.5,5.9,5.5,5.5
PREMIER LEAGUE SLOPS,Christensen O.,P,15,1,1,0,0.0667,1.0,7.5,6.5,6.5,0.0,6.5,,6.5,6.5
PREMIER LEAGUE SLOPS,Nelsson,D,15,15,1,14,0.0667,0.0636,87.0,86.5,5.5,81.0,5.5,5.79,5.5,5.5
PREMIER LEAGUE SLOPS,Martinelli T.,P,21,0,0,0,0.0,,0.0,0.0,0.0,0.0,,,,
PREMIER LEAGUE SLOPS,Lamptey,D,15,1,0,1,0.0,0.0,6.0,6.0,0.0,6.0,,6.0,,
PREMIER LEAGUE SLOPS,Cornet,C,15,3,0,3,0.0,0.0,14.5,12.5,0.0,12.5,,4.17,,
PREMIER LEAGUE SLOPS,Lezzerini,P,36,0,0,0,0.0,,0.0,0.0,0.0,0.0,,,,
PREMIER LEAGUE SLOPS,Kolasinac,D,6,1,0,1,0.0,0.0,6.0,6.0,0.0,6.0,,6.0,,
TEAM ASBOVE,Martinez L.,A,36,28,28,0,0.7778,1.0,179.5,242.0,242.0,0.0,8.64,,14.5,5.0
TEAM ASBOVE,Bremer,D,36,24,23,1,0.6389,0.961,152.0,166.5,160.0,6.5,6.96,6.5,13.5,5.0
TEAM ASBOVE,Pellegrini Lo.,C,36,24,24,0,0.6667,1.0,145.0,159.0,159.0,0.0,6.62,,11.0,5.0
TEAM ASBOVE,Nkunku,A,36,26,21,5,0.5833,0.8395,154.5,174.5,146.5,28.0,6.98,5.6,12.5,5.0
TEAM ASBOVE,Rowe,C,36,28,21,7,0.5833,0.7802,173.5,186.5,145.5,41.0,6.93,5.86,11.0,5.5
TEAM ASBOVE,Celik,D,21,19,18,1,0.8571,0.9534,117.5,118.0,112.5,5.5,6.25,5.5,8.0,5.5
TEAM ASBOVE,Spinazzola,D,21,18,17,1,0.8095,0.9524,108.0,115.5,110.0,5.5,6.47,5.5,11.0,5.0
TEAM ASBOVE,Sucic P.,C,36,26,16,10,0.4444,0.6492,158.0,162.5,105.5,57.0,6.59,5.7,10.0,5.5
TEAM ASBOVE,Butez,P,36,36,16,20,0.4444,0.4643,218.5,210.0,97.5,112.5,6.09,5.62,7.5,3.5
TEAM ASBOVE,Mancini,D,15,15,15,0,1.0,1.0,91.0,90.5,90.5,0.0,6.03,,7.5,5.0
TEAM ASBOVE,Rodriguez Je.,A,36,26,13,13,0.3611,0.5142,163.0,176.0,90.5,85.5,6.96,6.58,12.5,5.0
TEAM ASBOVE,Norton-Cuffy,D,36,25,13,12,0.3611,0.5452,148.5,155.0,84.5,70.5,6.5,5.88,11.0,3.5
TEAM ASBOVE,Thuram K.,C,21,18,12,6,0.5714,0.6949,111.0,118.0,82.0,36.0,6.83,6.0,10.0,5.0
TEAM ASBOVE,Heggem,D,36,24,14,10,0.3889,0.5797,139.0,138.0,80.0,58.0,5.71,5.8,7.0,3.5
TEAM ASBOVE,Milinkovic-Savic V.,P,21,17,12,5,0.5714,0.7524,105.0,103.0,77.5,25.5,6.46,5.1,10.0,4.0
TEAM ASBOVE,Mkhitaryan,C,36,26,11,15,0.3056,0.4207,162.0,173.5,73.0,100.5,6.64,6.7,10.0,5.0
TEAM ASBOVE,Fofana Y.,C,21,17,11,6,0.5238,0.6316,101.5,104.5,66.0,38.5,6.0,6.42,10.0,5.0
TEAM ASBOVE,Acerbi,D,36,14,11,3,0.3056,0.7771,84.5,83.0,64.5,18.5,5.86,6.17,6.5,5.0
TEAM ASBOVE,Bernasconi,D,21,16,10,6,0.4762,0.6281,97.5,99.5,62.5,37.0,6.25,6.17,7.5,5.5
TEAM ASBOVE,Taylor K.,C,15,13,9,4,0.6,0.7225,80.0,86.5,62.5,24.0,6.94,6.0,14.5,5.0
TEAM ASBOVE,Elmas,C,21,16,9,7,0.4286,0.5419,95.5,101.5,55.0,46.5,6.11,6.64,7.5,5.0
TEAM ASBOVE,Openda,A,36,14,8,6,0.2222,0.5765,81.0,85.0,49.0,36.0,6.12,6.0,11.0,5.0
TEAM ASBOVE,Vasquez,D,15,13,7,6,0.4667,0.5305,79.5,82.0,43.5,38.5,6.21,6.42,6.5,5.5
TEAM ASBOVE,Cutrone,A,15,12,7,5,0.4667,0.5852,67.5,67.5,39.5,28.0,5.64,5.6,6.0,5.0
TEAM ASBOVE,Dia,A,21,12,7,5,0.3333,0.5802,65.5,65.5,38.0,27.5,5.43,5.5,6.0,5.0
TEAM ASBOVE,Lucumì,D,21,12,6,6,0.2857,0.4726,70.5,73.0,34.5,38.5,5.75,6.42,6.5,5.0
TEAM ASBOVE,Bernardeschi,C,15,11,5,6,0.3333,0.5076,64.0,66.0,33.5,32.5,6.7,5.42,9.5,5.5
TEAM ASBOVE,Tourè I.,C,15,13,4,9,0.2667,0.2956,77.0,79.5,23.5,56.0,5.88,6.22,6.5,5.5
TEAM ASBOVE,Bijlow,P,15,14,4,10,0.2667,0.2752,85.0,74.5,20.5,54.0,5.12,5.4,7.0,3.5
TEAM ASBOVE,Meret,P,36,9,4,5,0.1111,0.4149,56.5,47.0,19.5,27.5,4.88,5.5,7.0,3.0
TEAM ASBOVE,Zhegrova,C,21,7,3,4,0.1429,0.4471,42.5,42.5,19.0,23.5,6.33,5.88,6.5,6.0
TEAM ASBOVE,Vergara,C,15,5,3,2,0.2,0.5902,30.5,30.5,18.0,12.5,6.0,6.25,6.5,5.5
TEAM ASBOVE,Vaz,A,15,5,2,3,0.1333,0.3529,30.0,34.0,12.0,22.0,6.0,7.33,6.0,6.0
TEAM ASBOVE,Biraghi,D,15,6,2,4,0.1333,0.3088,34.0,34.0,10.5,23.5,5.25,5.88,5.5,5.0
TEAM ASBOVE,Morata,A,15,5,2,3,0.1333,0.4038,27.5,26.0,10.5,15.5,5.25,5.17,6.0,4.5
TEAM ASBOVE,Floriani Mussolini,D,15,10,1,9,0.0667,0.1062,57.5,56.5,6.0,50.5,6.0,5.61,6.0,6.0
TEAM ASBOVE,Immobile,A,6,3,1,2,0.1667,0.3438,16.5,16.0,5.5,10.5,5.5,5.25,5.5,5.5
TEAM JODIODDR,Svilar,P,36,36,36,0,1.0,1.0,225.5,210.5,210.5,0.0,5.85,,8.0,0.5
TEAM JODIODDR,Zappacosta,D,36,34,33,1,0.9167,0.9678,206.0,217.5,210.5,7.0,6.38,7.0,11.0,5.0
TEAM JODIODDR,Gudmundsson A.,C,35,30,27,3,0.7714,0.8942,176.5,189.0,169.0,20.0,6.26,6.67,11.5,4.0
TEAM JODIODDR,Orban G.,A,36,28,20,8,0.5556,0.7486,163.0,183.0,137.0,46.0,6.85,5.75,14.5,4.5
TEAM JODIODDR,Baschirotto,D,36,27,20,7,0.5556,0.7593,159.0,162.0,123.0,39.0,6.15,5.57,10.5,5.0
TEAM JODIODDR,Valle,D,36,24,19,5,0.5278,0.794,145.5,150.5,119.5,31.0,6.29,6.2,8.5,5.5
TEAM JODIODDR,Hien,D,35,26,19,7,0.5429,0.7484,155.0,157.0,117.5,39.5,6.18,5.64,11.0,5.0
TEAM JODIODDR,Pisilli,C,36,22,17,5,0.4722,0.814,134.0,142.5,116.0,26.5,6.82,5.3,12.0,5.5
TEAM JODIODDR,Isaksen,C,21,18,16,2,0.7619,0.9068,107.0,118.0,107.0,11.0,6.69,5.5,11.0,5.0
TEAM JODIODDR,Rensch,D,36,19,16,3,0.4444,0.8623,117.0,123.5,106.5,17.0,6.66,5.67,10.5,5.5
TEAM JODIODDR,Leao,A,21,17,16,1,0.7619,0.9459,97.0,111.0,105.0,6.0,6.56,6.0,11.0,4.0
TEAM JODIODDR,Diao,A,23,16,16,0,0.6957,1.0,96.0,103.0,103.0,0.0,6.44,,12.5,5.0
TEAM JODIODDR,Zambo Anguissa,C,27,16,13,3,0.4815,0.8465,97.0,107.5,91.0,16.5,7.0,5.5,11.0,5.5
TEAM JODIODDR,Pulisic,C,11,9,9,0,0.8182,1.0,62.0,88.0,88.0,0.0,9.78,,16.5,3.0
TEAM JODIODDR,Tiago Gabriel,D,21,20,13,7,0.619,0.6229,118.5,118.0,73.5,44.5,5.65,6.36,6.5,3.0
TEAM JODIODDR,Santos A.,C,15,13,10,3,0.6667,0.7158,82.5,95.0,68.0,27.0,6.8,9.0,10.5,5.5
TEAM JODIODDR,Ngonge,A,21,15,10,5,0.4762,0.6885,88.5,91.5,63.0,28.5,6.3,5.7,10.0,5.0
TEAM JODIODDR,Obrador,D,15,14,8,6,0.5333,0.5879,85.5,91.0,53.5,37.5,6.69,6.25,10.0,4.5
TEAM JODIODDR,Masini,C,15,11,9,2,0.6,0.816,64.0,62.5,51.0,11.5,5.67,5.75,6.5,5.0
TEAM JODIODDR,Castellanos,A,15,9,8,1,0.5333,0.8938,53.0,56.5,50.5,6.0,6.31,6.0,11.5,5.0
TEAM JODIODDR,Thorstvedt,C,15,14,8,6,0.5333,0.5319,86.5,94.0,50.0,44.0,6.25,7.33,9.0,5.0
TEAM JODIODDR,Fadera,C,6,6,6,0,1.0,1.0,35.5,39.5,39.5,0.0,6.58,,11.0,5.0
TEAM JODIODDR,Bisseck,D,21,11,6,5,0.2857,0.5139,69.0,72.0,37.0,35.0,6.17,7.0,7.0,5.5
TEAM JODIODDR,Circati,D,15,13,6,7,0.4,0.4662,75.0,74.0,34.5,39.5,5.75,5.64,6.5,4.5
TEAM JODIODDR,Sulemana K.,A,15,8,6,2,0.4,0.734,47.5,47.0,34.5,12.5,5.75,6.25,6.0,5.0
TEAM JODIODDR,Frendrup,C,15,14,5,9,0.3333,0.358,82.0,81.0,29.0,52.0,5.8,5.78,6.0,5.5
