team,player,role,club,costo,qt_a,qt_i,val_diff,fvm,fvm_scaled,auction_edge,apps_active,total_active_fv,total_fv,avg_active_fv,pct_fv_captured,roi_active,roi_total
11 CRISTANTE UNITED,Dimarco,D,Inter,40.0,30.0,19.0,11.0,320.0,160.0,120.0,31,242.0,257.5,7.81,0.9398,6.05,6.4375
CUORE LAZIALE,Estupinan,D,Milan,21.0,2.0,11.0,-9.0,8.0,4.0,-17.0,7,43.5,68.0,6.21,0.6397,2.0714285714285716,3.238095238095238
11 CRISTANTE UNITED,Juan Jesus,D,Napoli,2.0,4.0,3.0,1.0,10.0,5.0,3.0,2,12.5,106.0,6.25,0.1179,6.25,53.0
CUORE LAZIALE,Cambiaso,D,Juventus,19.0,9.0,15.0,-6.0,17.0,8.5,-10.5,35,214.0,214.0,6.11,1.0,11.263157894736842,11.263157894736842
11 CRISTANTE UNITED,Bastoni,D,Inter,28.0,13.0,16.0,-3.0,40.0,20.0,-8.0,25,155.0,155.0,6.2,1.0,5.535714285714286,5.535714285714286
CUORE LAZIALE,Tavares N.,D,Lazio,3.0,6.0,12.0,-6.0,18.0,9.0,6.0,11,67.5,77.5,6.14,0.871,22.5,25.833333333333332
11 CRISTANTE UNITED,Diego Carlos,D,Como,2.0,8.0,5.0,3.0,12.0,6.0,4.0,16,94.5,147.5,5.91,0.6407,47.25,73.75
CUORE LAZIALE,Kristensen T.,D,Udinese,3.0,11.0,5.0,6.0,14.0,7.0,4.0,9,55.5,158.0,6.17,0.3513,18.5,52.666666666666664
11 CRISTANTE UNITED,N'Dicka,D,Roma,11.0,12.0,10.0,2.0,51.0,25.5,14.5,29,183.0,183.0,6.31,1.0,16.636363636363637,16.636363636363637
CUORE LAZIALE,Bartesaghi,D,Milan,14.0,10.0,3.0,7.0,15.0,7.5,-6.5,15,84.5,101.0,5.63,0.8366,6.035714285714286,7.214285714285714
11 CRISTANTE UNITED,Kalulu,D,Juventus,13.0,14.0,9.0,5.0,68.0,34.0,21.0,23,146.5,225.5,6.37,0.6497,11.26923076923077,17.346153846153847
CUORE LAZIALE,Kelly L.,D,Juventus,5.0,11.0,7.0,4.0,27.0,13.5,8.5,21,125.5,200.5,5.98,0.6259,25.1,40.1
11 CRISTANTE UNITED,De Winter,D,Milan,4.0,6.0,8.0,-2.0,10.0,5.0,1.0,6,35.0,44.5,5.83,0.7865,8.75,11.125
CUORE LAZIALE,Muharemovic,D,Sassuolo,4.0,8.0,5.0,3.0,18.0,9.0,5.0,3,18.0,103.0,6.0,0.1748,4.5,25.75
11 CRISTANTE UNITED,Beukema,D,Napoli,3.0,10.0,10.0,0.0,10.0,5.0,2.0,4,22.5,47.0,5.62,0.4787,7.5,15.666666666666666
CUORE LAZIALE,Zielinski,C,Inter,13.0,20.0,4.0,16.0,60.0,30.0,17.0,20,138.0,138.0,6.9,1.0,10.615384615384615,10.615384615384615
11 CRISTANTE UNITED,Politano,C,Napoli,20.0,13.0,15.0,-2.0,31.0,15.5,-4.5,20,122.5,186.5,6.12,0.6568,6.125,9.325
CUORE LAZIALE,Cristante,C,Roma,5.0,13.0,9.0,4.0,26.0,13.0,8.0,18,106.5,219.5,5.92,0.4852,21.3,43.9
