giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
16,U CAN U UP,BTGCBUGC,away,0,1,L,64.0,343,,
16,TEAM ZTOTTI,TEAM ASBOVE,home,3,2,W,79.0,442,4.0,2.0
16,TEAM ASBOVE,TEAM ZTOTTI,away,2,3,L,75.5,442,0.5,
17,TEAM ZTOTTI,11 CRISTANTE UNITED,home,1,0,W,68.5,442,0.5,2.0
17,11 CRISTANTE UNITED,TEAM ZTOTTI,away,0,1,L,65.5,433,,
17,CUORE LAZIALE,LABORATORIO DATI,home,1,1,D,71.0,343,,2.0
17,LABORATORIO DATI,CUORE LAZIALE,away,1,1,D,68.5,433,0.5,
17,KKK,BTGCBUGC,home,2,3,L,76.5,442,2.0,2.0
17,BTGCBUGC,KKK,away,3,2,W,80.0,433,1.0,
17,TEAM ASBOVE,TEAM JODIODDR,home,1,3,L,67.0,433,1.0,2.0
17,TEAM JODIODDR,TEAM ASBOVE,away,3,1,W,79.5,442,1.0,
17,U CAN U UP,PREMIER LEAGUE SLOPS,home,2,2,D,74.0,433,1.0,2.0
17,PREMIER LEAGUE SLOPS,U CAN U UP,away,2,2,D,76.0,343,,
18,PREMIER LEAGUE SLOPS,KKK,home,0,3,L,64.5,343,,2.0
18,KKK,PREMIER LEAGUE SLOPS,away,3,0,W,82.0,343,,
18,11 CRISTANTE UNITED,CUORE LAZIALE,home,3,3,D,81.0,433,2.0,2.0
18,CUORE LAZIALE,11 CRISTANTE UNITED,away,3,3,D,82.0,343,,
18,TEAM JODIODDR,TEAM ZTOTTI,home,1,1,D,68.0,442,0.5,2.0
18,TEAM ZTOTTI,TEAM JODIODDR,away,1,1,D,69.5,442,2.0,
18,LABORATORIO DATI,U CAN U UP,home,2,3,L,74.0,433,1.0,2.0
18,U CAN U UP,LABORATORIO DATI,away,3,2,W,82.5,433,2.0,
18,BTGCBUGC,TEAM ASBOVE,home,1,3,L,70.5,433,1.0,2.0
18,TEAM ASBOVE,BTGCBUGC,away,3,1,W,83.5,433,2.0,
19,11 CRISTANTE UNITED,U CAN U UP,home,2,0,W,77.5,433,2.0,2.0
19,U CAN U UP,11 CRISTANTE UNITED,away,0,2,L,64.0,433,1.0,
19,LABORATORIO DATI,KKK,home,1,1,D,69.5,433,0.5,2.0
19,KKK,LABORATORIO DATI,away,1,1,D,70.0,343,,
19,CUORE LAZIALE,TEAM ZTOTTI,home,0,3,L,65.5,433,,2.0
19,TEAM ZTOTTI,CUORE LAZIALE,away,3,0,W,80.0,442,2.0,
19,BTGCBUGC,TEAM JODIODDR,home,1,1,D,67.5,433,1.0,2.0
19,TEAM JODIODDR,BTGCBUGC,away,1,1,D,68.5,442,0.5,
19,PREMIER LEAGUE SLOPS,TEAM ASBOVE,home,1,2,L,69.5,343,,2.0
19,TEAM ASBOVE,PREMIER LEAGUE SLOPS,away,2,1,W,73.5,433,0.5,
20,KKK,11 CRISTANTE UNITED,home,3,3,D,78.0,433,0.5,2.0
20,11 CRISTANTE UNITED,KKK,away,3,3,D,80.5,433,3.0,
20,TEAM JODIODDR,PREMIER LEAGUE SLOPS,home,1,1,D,71.0,442,1.0,2.0
20,PREMIER LEAGUE SLOPS,TEAM JODIODDR,away,1,1,D,71.0,343,,
20,TEAM ZTOTTI,BTGCBUGC,home,3,4,L,81.5,433,2.0,2.0
20,BTGCBUGC,TEAM ZTOTTI,away,4,3,W,88.5,433,3.0,
20,U CAN U UP,CUORE LAZIALE,home,1,2,L,68.5,433,,2.0
20,CUORE LAZIALE,U CAN U UP,away,2,1,W,73.0,433,2.0,
20,TEAM ASBOVE,LABORATORIO DATI,home,2,1,W,77.0,433,1.0,2.0
20,LABORATORIO DATI,TEAM ASBOVE,away,1,2,L,68.0,433,,
21,11 CRISTANTE UNITED,TEAM ASBOVE,home,3,4,L,78.5,433,2.0,2.0
21,TEAM ASBOVE,11 CRISTANTE UNITED,away,4,3,W,85.0,442,3.0,
21,LABORATORIO DATI,TEAM JODIODDR,home,3,0,W,83.0,433,0.5,2.0
21,TEAM JODIODDR,LABORATORIO DATI,away,0,3,L,60.0,442,0.5,
21,CUORE LAZIALE,KKK,home,2,2,D,74.5,433,1.0,2.0
21,KKK,CUORE LAZIALE,away,2,2,D,77.0,433,2.0,
21,U CAN U UP,TEAM ZTOTTI,home,0,2,L,65.5,433,1.0,2.0
21,TEAM ZTOTTI,U CAN U UP,away,2,0,W,75.0,433,1.0,
21,PREMIER LEAGUE SLOPS,BTGCBUGC,home,1,1,D,68.5,343,,2.0
21,BTGCBUGC,PREMIER LEAGUE SLOPS,away,1,1,D,67.5,442,2.0,
22,KKK,U CAN U UP,home,2,2,D,77.0,343,,2.0
22,U CAN U UP,KKK,away,2,2,D,77.0,343,,
22,BTGCBUGC,LABORATORIO DATI,home,3,0,W,83.5,433,1.0,2.0
22,LABORATORIO DATI,BTGCBUGC,away,0,3,L,64.0,442,,
22,TEAM JODIODDR,11 CRISTANTE UNITED,home,3,2,W,82.5,442,1.0,2.0
22,11 CRISTANTE UNITED,TEAM JODIODDR,away,2,3,L,73.5,433,3.0,
22,TEAM ZTOTTI,PREMIER LEAGUE SLOPS,home,1,2,L,69.0,433,1.0,2.0
22,PREMIER LEAGUE SLOPS,TEAM ZTOTTI,away,2,1,W,72.0,442,1.0,
22,TEAM ASBOVE,CUORE LAZIALE,home,2,1,W,72.0,442,0.5,2.0
