giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
5,ASS ASS IN FC,PAUL POGSHAO,home,2,1,W,76.5,343,,2.0
5,PAUL POGSHAO,ASS ASS IN FC,away,1,2,L,71.0,433,0.5,
5,TEAM WOLFLING,TEAM HAIR FLICK,home,1,0,W,67.0,532,1.0,2.0
5,TEAM HAIR FLICK,TEAM WOLFLING,away,0,1,L,65.0,343,,
5,TOMATO,TEAM YANGTUO,home,1,0,W,70.0,343,,2.0
5,TEAM YANGTUO,TOMATO,away,0,1,L,63.5,442,0.5,
5,VINCENZO,CHELSEA,home,1,2,L,68.0,433,0.5,2.0
5,CHELSEA,VINCENZO,away,2,1,W,72.0,343,,
6,BOBOTOTTI,TOMATO,home,0,0,D,65.5,343,,2.0
6,TOMATO,BOBOTOTTI,away,0,0,D,65.5,343,,
6,TEAM YANGTUO,VINCENZO,home,2,0,W,76.5,442,1.0,2.0
6,VINCENZO,TEAM YANGTUO,away,0,2,L,64.0,433,1.0,
6,TEAM HAIR FLICK,ASS ASS IN FC,home,2,1,W,75.0,343,,2.0
6,ASS ASS IN FC,TEAM HAIR FLICK,away,1,2,L,69.0,343,,
6,CHELSEA,TEAM WOLFLING,home,0,0,D,65.0,433,,2.0
6,TEAM WOLFLING,CHELSEA,away,0,0,D,65.5,532,,
6,PAUL POGSHAO,TEAM GLIDER,home,2,1,W,75.0,433,1.0,2.0
6,TEAM GLIDER,PAUL POGSHAO,away,1,2,L,67.0,343,,
7,TEAM GLIDER,ASS ASS IN FC,home,2,2,D,73.5,343,,2.0
7,ASS ASS IN FC,TEAM GLIDER,away,2,2,D,74.0,343,,
7,TEAM WOLFLING,TEAM YANGTUO,home,2,1,W,76.0,532,1.0,2.0
7,TEAM YANGTUO,TEAM WOLFLING,away,1,2,L,70.0,433,1.0,
7,TOMATO,PAUL POGSHAO,home,1,2,L,68.5,343,,2.0
7,PAUL POGSHAO,TOMATO,away,2,1,W,73.5,433,1.0,
7,VINCENZO,BOBOTOTTI,home,1,2,L,66.5,433,1.0,2.0
7,BOBOTOTTI,VINCENZO,away,2,1,W,77.0,343,,
7,CHELSEA,TEAM HAIR FLICK,home,3,0,W,83.5,343,,2.0
7,TEAM HAIR FLICK,CHELSEA,away,0,3,L,63.0,343,,
8,TEAM GLIDER,TEAM HAIR FLICK,home,3,3,D,79.0,343,,2.0
