giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
35,THE GREAT BINGO,SOVEREIGN83,away,1,1,D,66.5,343,,
36,THE GREAT BINGO,BATIGOAL,home,1,0,W,66.5,343,,2.0
36,BATIGOAL,THE GREAT BINGO,away,0,1,L,60.5,433,0.5,
36,DTE,ROMA SHENHUA SEMPRE,home,1,3,L,71.5,433,,2.0
36,ROMA SHENHUA SEMPRE,DTE,away,3,1,W,81.0,343,,
36,AVIOD RELEGATION FOOTBALL CLUB,OWEN,home,1,1,D,69.5,433,0.5,2.0
36,OWEN,AVIOD RELEGATION FOOTBALL CLUB,away,1,1,D,70.5,433,1.0,
36,DELI-XUJUN,SOVEREIGN83,home,2,3,L,76.0,442,2.0,2.0
36,SOVEREIGN83,DELI-XUJUN,away,3,2,W,82.5,442,2.0,
36,TEAM PC,ROMAN EMPIRE,home,1,0,W,67.5,343,,2.0
36,ROMAN EMPIRE,TEAM PC,away,0,1,L,59.5,442,2.0,
