giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
15,TEAM CHENFENGZI,TEAM SITH,away,2,2,D,75.5,442,2.0,
15,BOSS ROMAZDA,TEAM BRAUNA,home,4,1,W,85.5,433,1.0,2.0
15,TEAM BRAUNA,BOSS ROMAZDA,away,1,4,L,67.5,433,1.0,
15,BALZARETTI42,XIAO SHI,home,0,3,L,64.5,343,,2.0
15,XIAO SHI,BALZARETTI42,away,3,0,W,81.0,532,2.0,
16,TEAM SITH,BALZARETTI42,home,1,2,L,67.0,442,,2.0
16,BALZARETTI42,TEAM SITH,away,2,1,W,72.5,343,,
16,MIZI-MAIGO,BOSS ROMAZDA,home,3,3,D,80.0,433,1.0,2.0
16,BOSS ROMAZDA,MIZI-MAIGO,away,3,3,D,79.0,433,0.5,
16,XIAO SHI,SANSHIMI,home,0,2,L,62.5,433,0.5,2.0
16,SANSHIMI,XIAO SHI,away,2,0,W,73.5,442,2.0,
16,X-17,MARIO GO,home,2,1,W,72.0,433,1.0,2.0
16,MARIO GO,X-17,away,1,2,L,68.0,442,1.0,
16,TEAM CHENFENGZI,TEAM BRAUNA,home,0,2,L,58.5,442,,2.0
16,TEAM BRAUNA,TEAM CHENFENGZI,away,2,0,W,76.0,532,0.5,
17,TEAM CHENFENGZI,BALZARETTI42,home,0,2,L,63.0,352,,2.0
17,BALZARETTI42,TEAM CHENFENGZI,away,2,0,W,73.5,343,,
17,SANSHIMI,TEAM SITH,home,3,3,D,82.0,442,2.0,2.0
17,TEAM SITH,SANSHIMI,away,3,3,D,78.5,442,1.0,
17,BOSS ROMAZDA,X-17,home,1,1,D,70.0,433,1.0,2.0
17,X-17,BOSS ROMAZDA,away,1,1,D,67.0,433,0.5,
17,TEAM BRAUNA,MIZI-MAIGO,home,2,3,L,72.0,433,0.5,2.0
17,MIZI-MAIGO,TEAM BRAUNA,away,3,2,W,78.0,433,2.0,
17,MARIO GO,XIAO SHI,home,0,1,L,64.5,442,0.5,2.0
17,XIAO SHI,MARIO GO,away,1,0,W,66.5,433,1.0,
18,XIAO SHI,BOSS ROMAZDA,home,1,2,L,69.5,532,0.5,2.0
18,BOSS ROMAZDA,XIAO SHI,away,2,1,W,72.5,433,2.0,
18,BALZARETTI42,SANSHIMI,home,2,2,D,72.0,343,,2.0
18,SANSHIMI,BALZARETTI42,away,2,2,D,77.5,433,1.0,
18,MIZI-MAIGO,TEAM CHENFENGZI,home,3,1,W,78.5,433,2.0,2.0
18,TEAM CHENFENGZI,MIZI-MAIGO,away,1,3,L,66.0,352,,
18,TEAM SITH,MARIO GO,home,5,0,W,90.5,442,1.0,2.0
18,MARIO GO,TEAM SITH,away,0,5,L,65.5,442,1.0,
18,X-17,TEAM BRAUNA,home,2,1,W,72.0,433,1.0,2.0
18,TEAM BRAUNA,X-17,away,1,2,L,68.5,433,,
19,BALZARETTI42,MARIO GO,home,1,2,L,69.5,352,,2.0
19,MARIO GO,BALZARETTI42,away,2,1,W,72.5,442,1.0,
19,TEAM SITH,BOSS ROMAZDA,home,1,1,D,70.0,442,0.5,2.0
19,BOSS ROMAZDA,TEAM SITH,away,1,1,D,71.5,433,1.0,
19,SANSHIMI,TEAM CHENFENGZI,home,1,2,L,71.0,442,1.0,2.0
19,TEAM CHENFENGZI,SANSHIMI,away,2,1,W,76.5,352,,
19,X-17,MIZI-MAIGO,home,0,0,D,64.0,433,1.0,2.0
19,MIZI-MAIGO,X-17,away,0,0,D,58.0,433,,
19,XIAO SHI,TEAM BRAUNA,home,0,1,L,65.5,532,0.5,2.0
19,TEAM BRAUNA,XIAO SHI,away,1,0,W,70.5,433,0.5,
20,BOSS ROMAZDA,BALZARETTI42,home,3,2,W,83.0,433,2.0,2.0
20,BALZARETTI42,BOSS ROMAZDA,away,2,3,L,77.0,442,1.0,
20,MIZI-MAIGO,XIAO SHI,home,5,1,W,91.5,433,4.0,2.0
20,XIAO SHI,MIZI-MAIGO,away,1,5,L,66.0,532,0.5,
20,TEAM CHENFENGZI,X-17,home,1,2,L,68.0,352,,2.0
20,X-17,TEAM CHENFENGZI,away,2,1,W,72.5,433,1.0,
20,MARIO GO,SANSHIMI,home,1,2,L,71.0,352,,2.0
20,SANSHIMI,MARIO GO,away,2,1,W,74.5,442,,
20,TEAM BRAUNA,TEAM SITH,home,3,0,W,79.0,433,2.0,2.0
20,TEAM SITH,TEAM BRAUNA,away,0,3,L,63.5,442,,
