giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
27,BOVE,KKK,away,2,3,L,75.0,433,0.5,
27,WINNING MOMENT,ETHANANITA,home,0,2,L,64.0,442,0.5,2.0
27,ETHANANITA,WINNING MOMENT,away,2,0,W,74.5,343,,
28,BJ EASTONE FC,TEAM ASRSUPERJULIAN,home,1,1,D,66.5,451,0.5,2.0
28,TEAM ASRSUPERJULIAN,BJ EASTONE FC,away,1,1,D,66.5,343,,
28,BOVE,ETHANANITA,home,0,2,L,64.5,433,0.5,2.0
28,ETHANANITA,BOVE,away,2,0,W,75.5,442,1.0,
28,DARTH VADER,WINNING MOMENT,home,2,0,W,72.0,343,,2.0
28,WINNING MOMENT,DARTH VADER,away,0,2,L,64.5,442,1.0,
28,KKK,VENI VIDI VICI,home,1,1,D,68.5,433,0.5,2.0
28,VENI VIDI VICI,KKK,away,1,1,D,71.0,433,1.0,
28,TIGER REBELS,FANTA GPT,home,3,2,W,80.0,442,1.0,2.0
28,FANTA GPT,TIGER REBELS,away,2,3,L,72.5,433,1.0,
29,TEAM ASRSUPERJULIAN,BOVE,home,2,1,W,74.0,343,,2.0
29,BOVE,TEAM ASRSUPERJULIAN,away,1,2,L,67.0,433,2.0,
29,FANTA GPT,KKK,home,1,0,W,71.5,433,0.5,2.0
29,KKK,FANTA GPT,away,0,1,L,60.5,433,1.0,
29,WINNING MOMENT,TIGER REBELS,home,1,2,L,71.0,442,0.5,2.0
29,TIGER REBELS,WINNING MOMENT,away,2,1,W,73.0,442,1.0,
29,VENI VIDI VICI,DARTH VADER,home,2,3,L,74.0,433,,2.0
29,DARTH VADER,VENI VIDI VICI,away,3,2,W,79.0,343,,
29,ETHANANITA,BJ EASTONE FC,home,1,0,W,70.0,442,0.5,2.0
29,BJ EASTONE FC,ETHANANITA,away,0,1,L,45.5,451,,
30,TIGER REBELS,TEAM ASRSUPERJULIAN,home,3,3,D,79.5,442,1.0,2.0
30,TEAM ASRSUPERJULIAN,TIGER REBELS,away,3,3,D,82.0,343,,
30,KKK,BJ EASTONE FC,home,3,0,W,81.5,442,1.0,2.0
30,BJ EASTONE FC,KKK,away,0,3,L,56.0,451,0.5,
30,BOVE,DARTH VADER,home,1,1,D,67.0,433,0.5,2.0
30,DARTH VADER,BOVE,away,1,1,D,66.0,343,,
30,ETHANANITA,WINNING MOMENT,home,0,0,D,64.5,442,1.0,2.0
30,WINNING MOMENT,ETHANANITA,away,0,0,D,63.0,442,0.5,
30,VENI VIDI VICI,FANTA GPT,home,3,1,W,79.5,343,,2.0
30,FANTA GPT,VENI VIDI VICI,away,1,3,L,68.5,433,0.5,
31,TIGER REBELS,BOVE,home,1,2,L,70.5,442,1.0,2.0
31,BOVE,TIGER REBELS,away,2,1,W,74.5,433,2.0,
31,DARTH VADER,TEAM ASRSUPERJULIAN,home,2,0,W,72.0,352,,2.0
31,TEAM ASRSUPERJULIAN,DARTH VADER,away,0,2,L,62.5,343,,
31,BJ EASTONE FC,VENI VIDI VICI,home,0,2,L,59.0,451,,2.0
31,VENI VIDI VICI,BJ EASTONE FC,away,2,0,W,74.0,433,1.0,
31,FANTA GPT,ETHANANITA,home,4,1,W,85.0,433,2.0,2.0
31,ETHANANITA,FANTA GPT,away,1,4,L,68.0,442,1.0,
31,WINNING MOMENT,KKK,home,2,0,W,75.0,442,1.0,2.0
31,KKK,WINNING MOMENT,away,0,2,L,65.0,343,,
32,BJ EASTONE FC,TIGER REBELS,home,0,1,L,60.0,451,0.5,2.0
32,TIGER REBELS,BJ EASTONE FC,away,1,0,W,71.0,442,0.5,
32,BOVE,WINNING MOMENT,home,1,1,D,69.0,433,1.0,2.0
32,WINNING MOMENT,BOVE,away,1,1,D,66.5,442,2.0,
32,VENI VIDI VICI,ETHANANITA,home,1,2,L,66.5,433,,2.0
32,ETHANANITA,VENI VIDI VICI,away,2,1,W,76.5,541,1.0,
32,DARTH VADER,KKK,home,1,3,L,70.0,352,,2.0
32,KKK,DARTH VADER,away,3,1,W,80.0,343,,
32,TEAM ASRSUPERJULIAN,FANTA GPT,home,3,1,W,81.5,343,,2.0
32,FANTA GPT,TEAM ASRSUPERJULIAN,away,1,3,L,71.5,433,0.5,
33,KKK,TIGER REBELS,home,1,0,W,69.0,433,2.0,2.0
33,TIGER REBELS,KKK,away,0,1,L,65.5,442,0.5,
33,WINNING MOMENT,BJ EASTONE FC,home,1,1,D,69.0,442,0.5,2.0
33,BJ EASTONE FC,WINNING MOMENT,away,1,1,D,71.0,451,1.0,
33,FANTA GPT,BOVE,home,2,1,W,73.5,433,2.0,2.0
33,BOVE,FANTA GPT,away,1,2,L,69.0,442,1.0,
33,ETHANANITA,DARTH VADER,home,1,1,D,70.5,541,1.0,2.0
33,DARTH VADER,ETHANANITA,away,1,1,D,70.5,343,,
33,VENI VIDI VICI,TEAM ASRSUPERJULIAN,home,2,1,W,76.5,433,0.5,2.0
33,TEAM ASRSUPERJULIAN,VENI VIDI VICI,away,1,2,L,68.5,343,,
34,TIGER REBELS,VENI VIDI VICI,home,1,3,L,71.0,442,1.0,2.0
34,VENI VIDI VICI,TIGER REBELS,away,3,1,W,78.0,433,2.0,
34,ETHANANITA,KKK,home,0,2,L,64.5,343,,2.0
34,KKK,ETHANANITA,away,2,0,W,77.0,343,,
34,BOVE,BJ EASTONE FC,home,5,1,W,90.5,442,1.0,2.0
34,BJ EASTONE FC,BOVE,away,1,5,L,66.5,451,1.0,
34,DARTH VADER,FANTA GPT,home,2,1,W,72.0,343,,2.0
34,FANTA GPT,DARTH VADER,away,1,2,L,69.0,433,1.0,
