participant,role,player,club,costo,credits_residui
Ni99er No.1,C,Tramoni M.,Pis,9.0,0.0
7upeveryday,C,Ekkelenkamp,Udi,14.0,0.0
Ni99er No.1,C,Basic,Laz,14.0,0.0
7upeveryday,C,Taylor K.,Laz,17.0,0.0
Ni99er No.1,C,Ondrejka,Par,5.0,0.0
7upeveryday,A,Kean,Fio,102.0,0.0
Ni99er No.1,A,Leao,Mil,66.0,0.0
7upeveryday,A,Vardy,Cre,16.0,0.0
Ni99er No.1,A,Thuram,Int,76.0,0.0
7upeveryday,A,De Ketelaere,Ata,47.0,0.0
Ni99er No.1,A,David,Juv,74.0,0.0
7upeveryday,A,Bonny,Int,22.0,0.0
Ni99er No.1,A,Laurientè,Sas,18.0,0.0
7upeveryday,A,Meister,Pis,8.0,0.0
Ni99er No.1,A,Openda,Juv,36.0,0.0
7upeveryday,A,Esposito F.P.,Int,9.0,0.0
Ni99er No.1,A,Giovane,Nap,4.0,0.0
VENI VIDI VICI,P,Sportiello,Ata,1.0,2.0
Team Wolfling,P,Provedel,Laz,20.0,0.0
VENI VIDI VICI,P,Rossi F.,Ata,1.0,2.0
Team Wolfling,P,Furlanetto,Laz,1.0,0.0
VENI VIDI VICI,P,Carnesecchi,Ata,30.0,2.0
Team Wolfling,P,Motta,Laz,1.0,0.0
VENI VIDI VICI,D,Rugani,Fio,2.0,2.0
Team Wolfling,D,Djimsiti,Ata,6.0,0.0
VENI VIDI VICI,D,Kolasinac,Ata,4.0,2.0
Team Wolfling,D,Spinazzola,Nap,16.0,0.0
VENI VIDI VICI,D,Pellegrini Lu.,Laz,7.0,2.0
Team Wolfling,D,Bastoni,Int,49.0,0.0
VENI VIDI VICI,D,Lazaro,Tor,6.0,2.0
Team Wolfling,D,Pavlovic,Mil,13.0,0.0
VENI VIDI VICI,D,Kamara H.,Udi,6.0,2.0
Team Wolfling,D,Ostigard,Gen,11.0,0.0
VENI VIDI VICI,D,Doig,Sas,6.0,2.0
Team Wolfling,D,Baschirotto,Cre,28.0,0.0
VENI VIDI VICI,D,Valeri,Par,11.0,2.0
Team Wolfling,D,Angori,Pis,9.0,0.0
VENI VIDI VICI,D,Carlos Augusto,Int,14.0,2.0
Team Wolfling,D,Ndiaye,Par,1.0,0.0
VENI VIDI VICI,C,Zaniolo,Udi,39.0,2.0
Team Wolfling,C,Zielinski,Int,4.0,0.0
VENI VIDI VICI,C,Gaetano,Cag,8.0,2.0
Team Wolfling,C,Mandragora,Fio,22.0,0.0
VENI VIDI VICI,C,Volpato,Sas,8.0,2.0
Team Wolfling,C,Cornet,Gen,2.0,0.0
VENI VIDI VICI,C,Zerbin,Cre,6.0,2.0
Team Wolfling,C,Brescianini,Fio,8.0,0.0
VENI VIDI VICI,C,Pierotti,Lec,8.0,2.0
Team Wolfling,C,Ederson D.S.,Ata,28.0,0.0
VENI VIDI VICI,C,Konè I.,Sas,5.0,2.0
Team Wolfling,C,Casadei,Tor,8.0,0.0
VENI VIDI VICI,C,Rowe,Bol,35.0,2.0
Team Wolfling,C,Marchwinski,Lec,1.0,0.0
VENI VIDI VICI,C,Sorensen O.,Par,7.0,2.0
Team Wolfling,C,Konè I.,Sas,16.0,0.0
VENI VIDI VICI,A,Martinez L.,Int,105.0,2.0
Team Wolfling,A,Pavoletti,Cag,1.0,0.0
VENI VIDI VICI,A,Piccoli,Fio,20.0,2.0
Team Wolfling,A,Morata,Com,12.0,0.0
VENI VIDI VICI,A,Thuram,Int,104.0,2.0
Team Wolfling,A,Milik,Juv,1.0,0.0
VENI VIDI VICI,A,Ekuban,Gen,10.0,2.0
Team Wolfling,A,Malen,Rom,44.0,0.0
VENI VIDI VICI,A,Vitinha O.,Gen,13.0,2.0
Team Wolfling,A,De Ketelaere,Ata,44.0,0.0
VENI VIDI VICI,A,Esposito F.P.,Int,7.0,2.0
Team Wolfling,A,Arena A.,Rom,1.0,0.0
BoBoTotti,P,Meret,Nap,48.0,1.0
tiger rebels,P,Gollini,Rom,1.0,0.0
BoBoTotti,P,Milinkovic-Savic V.,Nap,18.0,1.0
tiger rebels,P,Svilar,Rom,52.0,0.0
BoBoTotti,P,Contini,Nap,1.0,1.0
tiger rebels,P,Zelezny,Rom,1.0,0.0
BoBoTotti,D,Gabbia,Mil,13.0,1.0
tiger rebels,D,Pezzella Giu.,Cre,6.0,0.0
BoBoTotti,D,Gallo,Lec,8.0,1.0
tiger rebels,D,Mina,Cag,10.0,0.0
BoBoTotti,D,Vasquez,Gen,11.0,1.0
tiger rebels,D,Miranda J.,Bol,9.0,0.0
BoBoTotti,D,Valeri,Par,10.0,1.0
tiger rebels,D,Obert,Cag,4.0,0.0
BoBoTotti,D,Kristensen T.,Udi,9.0,1.0
tiger rebels,D,Terracciano F.,Cre,5.0,0.0
BoBoTotti,D,Coco,Tor,8.0,1.0
tiger rebels,D,Delprato,Par,9.0,0.0
BoBoTotti,D,Delprato,Par,9.0,1.0
tiger rebels,D,Valle,Com,10.0,0.0
BoBoTotti,D,Valle,Com,12.0,1.0
tiger rebels,D,Tiago Gabriel,Lec,3.0,0.0
BoBoTotti,C,Pellegrini Lo.,Rom,10.0,1.0
tiger rebels,C,Pellegrini Lo.,Rom,11.0,0.0
BoBoTotti,C,De Bruyne,Nap,20.0,1.0
tiger rebels,C,El Shaarawy,Rom,9.0,0.0
BoBoTotti,C,Modric,Mil,20.0,1.0
tiger rebels,C,Modric,Mil,53.0,0.0
BoBoTotti,C,Saelemaekers,Mil,27.0,1.0
tiger rebels,C,Lobotka,Nap,12.0,0.0
BoBoTotti,C,Maldini,Laz,20.0,1.0
tiger rebels,C,McTominay,Nap,94.0,0.0
BoBoTotti,C,Zhegrova,Juv,31.0,1.0
tiger rebels,C,Brescianini,Fio,7.0,0.0
BoBoTotti,C,Frendrup,Gen,10.0,1.0
tiger rebels,C,Zalewski,Ata,11.0,0.0
BoBoTotti,C,Bernabè,Par,12.0,1.0
tiger rebels,C,Masini,Gen,6.0,0.0
BoBoTotti,A,Bonazzoli,Cre,20.0,1.0
tiger rebels,A,Dybala,Rom,71.0,0.0
BoBoTotti,A,Vlahovic,Juv,41.0,1.0
tiger rebels,A,Simeone,Tor,18.0,0.0
BoBoTotti,A,Esposito Se.,Cag,17.0,1.0
tiger rebels,A,De Ketelaere,Ata,50.0,0.0
BoBoTotti,A,Vitinha O.,Gen,13.0,1.0
tiger rebels,A,Almqvist,Par,5.0,0.0
BoBoTotti,A,Krstovic,Ata,44.0,1.0
tiger rebels,A,Rodriguez Je.,Com,13.0,0.0
BoBoTotti,A,Cheddira,Lec,7.0,1.0
tiger rebels,A,Durosinmi,Pis,16.0,0.0
Paul Pogshao,P,Skorupski,Bol,36.0,0.0
Gallifrey,P,Butez,Com,15.0,2.0
Paul Pogshao,P,Ravaglia F.,Bol,3.0,0.0
Gallifrey,P,Cavlina,Com,1.0,2.0
Paul Pogshao,P,Pessina Mas.,Bol,1.0,0.0
Gallifrey,P,Tornqvist,Com,1.0,2.0
Paul Pogshao,D,Dimarco,Int,52.0,0.0
Gallifrey,D,Akanji,Int,9.0,2.0
Paul Pogshao,D,Mancini,Rom,27.0,0.0
Gallifrey,D,Angelino,Rom,20.0,2.0
Paul Pogshao,D,Dumfries,Int,12.0,0.0
Gallifrey,D,Vasquez,Gen,10.0,2.0
Paul Pogshao,D,Cambiaso,Juv,35.0,0.0
Gallifrey,D,Carlos Augusto,Int,10.0,2.0
