giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
22,SUMMERED,HIGHRIVER,away,3,3,D,81.0,442,1.0,
22,TEAM DELVECCHIO23,GALLIFREY,home,0,2,L,62.5,343,,2.0
22,GALLIFREY,TEAM DELVECCHIO23,away,2,0,W,73.5,433,2.0,
22,BATIGOAL,CHOWPOUROMA,home,3,1,W,78.5,433,,2.0
22,CHOWPOUROMA,BATIGOAL,away,1,3,L,67.5,433,0.5,
23,SUMMERED,TEAM SJ,home,3,0,W,79.5,433,0.5,2.0
23,TEAM SJ,SUMMERED,away,0,3,L,60.5,433,0.5,
23,FC MCDONALD,GALLIFREY,home,2,1,W,74.5,343,,2.0
23,GALLIFREY,FC MCDONALD,away,1,2,L,68.0,442,1.0,
23,BUSHAOZI,TEAM DELVECCHIO23,home,1,3,L,66.5,343,,2.0
23,TEAM DELVECCHIO23,BUSHAOZI,away,3,1,W,81.0,343,,
23,CHOWPOUROMA,HIGHRIVER,home,3,1,W,81.0,433,1.0,2.0
23,HIGHRIVER,CHOWPOUROMA,away,1,3,L,70.5,343,,
23,ZDENEK ZEMAN,BATIGOAL,home,0,1,L,61.5,442,,2.0
23,BATIGOAL,ZDENEK ZEMAN,away,1,0,W,68.5,433,2.0,
24,TEAM SJ,CHOWPOUROMA,home,1,2,L,70.0,352,,2.0
24,CHOWPOUROMA,TEAM SJ,away,2,1,W,77.5,433,,
24,HIGHRIVER,ZDENEK ZEMAN,home,0,0,D,63.5,343,,2.0
24,ZDENEK ZEMAN,HIGHRIVER,away,0,0,D,61.5,442,,
24,TEAM DELVECCHIO23,FC MCDONALD,home,3,2,W,79.0,343,,2.0
24,FC MCDONALD,TEAM DELVECCHIO23,away,2,3,L,73.0,343,,
24,BATIGOAL,BUSHAOZI,home,1,1,D,69.0,442,0.5,2.0
24,BUSHAOZI,BATIGOAL,away,1,1,D,66.5,352,,
24,GALLIFREY,SUMMERED,home,2,1,W,74.0,442,1.0,2.0
24,SUMMERED,GALLIFREY,away,1,2,L,70.5,442,1.0,
25,SUMMERED,FC MCDONALD,home,2,2,D,74.0,433,1.0,2.0
25,FC MCDONALD,SUMMERED,away,2,2,D,73.0,343,,
25,BUSHAOZI,HIGHRIVER,home,0,1,L,62.0,451,,2.0
25,HIGHRIVER,BUSHAOZI,away,1,0,W,69.0,343,,
25,CHOWPOUROMA,GALLIFREY,home,2,1,W,72.0,433,0.5,2.0
25,GALLIFREY,CHOWPOUROMA,away,1,2,L,68.5,343,,
25,ZDENEK ZEMAN,TEAM SJ,home,1,2,L,68.5,442,0.5,2.0
25,TEAM SJ,ZDENEK ZEMAN,away,2,1,W,72.0,352,,
25,BATIGOAL,TEAM DELVECCHIO23,home,2,3,L,77.0,352,,2.0
25,TEAM DELVECCHIO23,BATIGOAL,away,3,2,W,79.0,343,,
26,SUMMERED,TEAM DELVECCHIO23,home,1,3,L,70.5,343,,2.0
26,TEAM DELVECCHIO23,SUMMERED,away,3,1,W,78.0,352,,
26,FC MCDONALD,CHOWPOUROMA,home,0,2,L,65.0,343,,2.0
26,CHOWPOUROMA,FC MCDONALD,away,2,0,W,76.0,433,1.0,
26,TEAM SJ,BUSHAOZI,home,2,2,D,74.0,352,,2.0
26,BUSHAOZI,TEAM SJ,away,2,2,D,73.0,451,1.0,
26,HIGHRIVER,BATIGOAL,home,2,2,D,73.0,343,,2.0
26,BATIGOAL,HIGHRIVER,away,2,2,D,75.5,343,,
26,GALLIFREY,ZDENEK ZEMAN,home,1,2,L,71.5,442,0.5,2.0
26,ZDENEK ZEMAN,GALLIFREY,away,2,1,W,74.0,442,1.0,
27,BUSHAOZI,GALLIFREY,home,2,1,W,75.0,451,0.5,2.0
27,GALLIFREY,BUSHAOZI,away,1,2,L,70.5,352,,
27,CHOWPOUROMA,SUMMERED,home,1,3,L,68.5,433,,2.0
27,SUMMERED,CHOWPOUROMA,away,3,1,W,78.0,433,1.0,
27,TEAM DELVECCHIO23,HIGHRIVER,home,2,3,L,73.0,343,,2.0
27,HIGHRIVER,TEAM DELVECCHIO23,away,3,2,W,79.5,343,,
27,ZDENEK ZEMAN,FC MCDONALD,home,2,1,W,72.5,442,,2.0
27,FC MCDONALD,ZDENEK ZEMAN,away,1,2,L,67.5,343,,
27,BATIGOAL,TEAM SJ,home,0,3,L,62.5,343,,2.0
27,TEAM SJ,BATIGOAL,away,3,0,W,79.0,442,1.0,
28,SUMMERED,BUSHAOZI,home,1,3,L,70.5,343,,2.0
28,BUSHAOZI,SUMMERED,away,3,1,W,80.0,541,1.0,
28,CHOWPOUROMA,ZDENEK ZEMAN,home,1,0,W,69.5,433,0.5,2.0
28,ZDENEK ZEMAN,CHOWPOUROMA,away,0,1,L,58.0,442,,
28,HIGHRIVER,TEAM SJ,home,1,2,L,70.5,343,,2.0
28,TEAM SJ,HIGHRIVER,away,2,1,W,77.0,433,0.5,
28,TEAM DELVECCHIO23,BATIGOAL,home,3,2,W,78.5,343,,2.0
28,BATIGOAL,TEAM DELVECCHIO23,away,2,3,L,73.0,352,,
28,GALLIFREY,FC MCDONALD,home,1,2,L,71.0,442,1.0,2.0
28,FC MCDONALD,GALLIFREY,away,2,1,W,75.5,343,,
29,FC MCDONALD,SUMMERED,home,1,1,D,66.5,343,,2.0
29,SUMMERED,FC MCDONALD,away,1,1,D,70.0,442,1.0,
29,BUSHAOZI,CHOWPOUROMA,home,3,1,W,80.0,352,,2.0
29,CHOWPOUROMA,BUSHAOZI,away,1,3,L,69.0,433,0.5,
29,TEAM SJ,TEAM DELVECCHIO23,home,4,2,W,89.5,433,3.0,2.0
29,TEAM DELVECCHIO23,TEAM SJ,away,2,4,L,74.0,343,,
29,ZDENEK ZEMAN,HIGHRIVER,home,2,2,D,72.5,352,,2.0
29,HIGHRIVER,ZDENEK ZEMAN,away,2,2,D,77.0,343,,
29,BATIGOAL,GALLIFREY,home,1,3,L,69.0,352,,2.0
29,GALLIFREY,BATIGOAL,away,3,1,W,80.5,442,3.0,
30,CHOWPOUROMA,BATIGOAL,home,1,0,W,66.5,433,,2.0
